word : base_line_score | beam_search_score
插 : 0.02 | 0.0238391744001 | -0.00383917440013
揄 : 0.02 | 0.02 | 0.0
某 : 0.02 | 0.02 | 0.0
描 : 0.0240759009418 | 0.0238110282485 | 0.000264872693275
雒 : 0.02 | 0.02 | 0.0
支 : 0.0252529907007 | 0.02 | 0.00525299070074
淌 : 0.0239312326447 | 0.02 | 0.00393123264466
⑤ : 0.02 | 0.02 | 0.0
⑥ : 0.02 | 0.02 | 0.0
③ : 0.02 | 0.02 | 0.0
④ : 0.02 | 0.02 | 0.0
① : 0.02 | 0.02 | 0.0
淅 : 0.02 | 0.02 | 0.0
淆 : 0.02 | 0.02 | 0.0
淇 : 0.02 | 0.02 | 0.0
淀 : 0.02 | 0.02 | 0.0
蕉 : 0.02 | 0.02 | 0.0
嶙 : 0.0239312326447 | 0.0246275642632 | -0.000696331618539
淑 : 0.02 | 0.02 | 0.0
蕤 : 0.02 | 0.02 | 0.0
淤 : 0.02 | 0.0236633850183 | -0.00366338501827
釜 : 0.02 | 0.02 | 0.0
淠 : 0.02 | 0.02 | 0.0
淡 : 0.04 | 0.02 | 0.02
采 : 0.02 | 0.02 | 0.0
淹 : 0.0236208519356 | 0.02 | 0.0036208519356
野 : 0.0266666666667 | 0.02 | 0.00666666666667
混 : 0.0263092975357 | 0.0286135311615 | -0.00230423362575
擦 : 0.04 | 0.02 | 0.02
嚏 : 0.02 | 0.02 | 0.0
擂 : 0.02 | 0.02 | 0.0
攀 : 0.02 | 0.02 | 0.0
畿 : 0.02 | 0.02 | 0.0
鸦 : 0.02 | 0.02 | 0.0
擎 : 0.02 | 0.02 | 0.0
擘 : 0.0246275642632 | 0.02 | 0.0046275642632
刷 : 0.0247081782673 | 0.0247962493314 | -8.80710640299e-05
胺 : 0.02 | 0.02 | 0.0
胸 : 0.02 | 0.02 | 0.0
刽 : 0.02 | 0.02 | 0.0
桷 : 0.02 | 0.02 | 0.0
刹 : 0.0244212945892 | 0.0245534049739 | -0.000132110384789
桫 : 0.02 | 0.02 | 0.0
判 : 0.0277370561447 | 0.02 | 0.00773705614469
桩 : 0.02 | 0.02 | 0.0
胥 : 0.02 | 0.02 | 0.0
桢 : 0.02 | 0.02 | 0.0
刨 : 0.02 | 0.02 | 0.0
桥 : 0.0266666666667 | 0.0326185950714 | -0.00595192840476
划 : 0.02 | 0.02 | 0.0
桓 : 0.02 | 0.02 | 0.0
桑 : 0.02 | 0.02 | 0.0
胞 : 0.02 | 0.02 | 0.0
创 : 0.04 | 0.04 | 0.0
桔 : 0.02 | 0.02 | 0.0
则 : 0.0326185950714 | 0.02 | 0.0126185950714
切 : 0.02 | 0.02 | 0.0
桉 : 0.02 | 0.02 | 0.0
桌 : 0.0248930108424 | 0.02 | 0.00489301084236
刁 : 0.0247081782673 | 0.02 | 0.00470817826733
刍 : 0.02 | 0.02 | 0.0
框 : 0.0243067655807 | 0.02 | 0.00430676558073
桅 : 0.02 | 0.02 | 0.0
雪 : 0.0247962493314 | 0.02 | 0.00479624933136
挲 : 0.02 | 0.02 | 0.0
雯 : 0.02 | 0.02 | 0.0
挫 : 0.0241602919535 | 0.04 | -0.0158397080465
零 : 0.0244212945892 | 0.0260205999133 | -0.00159930532413
振 : 0.0263092975357 | 0.02 | 0.00630929753571
挣 : 0.0263092975357 | 0.0245534049739 | 0.00175589256178
雾 : 0.025 | 0.0271241437422 | -0.00212414374216
挛 : 0.02 | 0.02 | 0.0
雀 : 0.02 | 0.02 | 0.0
雇 : 0.0271241437422 | 0.02 | 0.00712414374216
挟 : 0.02 | 0.02 | 0.0
挑 : 0.0252529907007 | 0.03 | -0.00474700929926
雌 : 0.02 | 0.02 | 0.0
挈 : 0.02 | 0.02 | 0.0
雕 : 0.0263092975357 | 0.0277370561447 | -0.00142775860898
持 : 0.0247962493314 | 0.03 | -0.00520375066864
驴 : 0.02 | 0.02 | 0.0
驿 : 0.02 | 0.02 | 0.0
驾 : 0.023581044635 | 0.02 | 0.00358104463502
驹 : 0.0277370561447 | 0.02 | 0.00773705614469
驻 : 0.02 | 0.02 | 0.0
碟 : 0.02 | 0.02 | 0.0
